Year ,spawners,returns,lnrs,cycle,group
1961,328729,748376.16,0.822672036,odd,unexposed
1963,296025,364807.566,0.208926088,odd,unexposed
1965,122025,204258.8745,0.51516224,odd,unexposed
1967,67515,214387.2615,1.155434217,odd,unexposed
1969,138375,575018.7385,1.424435238,odd,unexposed
1971,450085,343837.7859,-0.26926646,odd,unexposed
1973,206380,353119.3064,0.537086849,odd,unexposed
1975,241000,1023339.919,1.446030054,odd,unexposed
1977,463010,844873.8473,0.601438671,odd,unexposed
1979,541875,1367473.984,0.925685162,odd,unexposed
1981,571775,755634.2413,0.278811894,odd,unexposed
1983,586508,1305732.249,0.800332964,odd,unexposed
1985,887767,275883.5282,-1.168730544,odd,unexposed
1987,144631,315811.3121,0.78095925,odd,unexposed
1989,273090,231288.2541,-0.166136625,odd,unexposed
1991,203529,175120.1987,-0.150335913,odd,unexposed
1993,151454,241925.5989,0.468348288,odd,unexposed
1995,201508,377559.1097,0.627898056,odd,unexposed
1997,345890,334161.2532,-0.034497135,odd,unexposed
1999,312210,1872810.2,1.791519324,odd,unexposed
2001,1753150,1292779.452,-0.304619655,odd,unexposed
2003,1147200,1052651.864,-0.086011626,odd,unexposed
2005,934775,660739.4238,-0.346946312,odd,unexposed
2007,622190,1131278.894,0.597858524,odd,unexposed
2009,1100234,404655.3608,-1.00024242,odd,unexposed
2011,401240,887996.2933,0.794407817,odd,unexposed
2013,750700,,,odd,unexposed
1960,21950,2307376.787,4.655099429,even,unexposed
1962,80750,1061599.679,2.576174219,even,unexposed
1964,86500,1486005.952,2.843702817,even,unexposed
1966,225000,2776482.488,2.512839711,even,unexposed
1968,148500,1682055.756,2.42718703,even,unexposed
1970,144500,1815437.967,2.530802514,even,unexposed
1972,145000,1587458.31,2.393155727,even,unexposed
1974,119000,1705290.76,2.662367416,even,unexposed
1976,112750,926123.6166,2.105834743,even,unexposed
1978,106200,468525.8466,1.48426716,even,unexposed
1980,58500,312617.8544,1.675954778,even,unexposed
1982,51550,687896.3425,2.591085951,even,unexposed
1984,71800,1332916.053,2.921239866,even,unexposed
1986,94370,10532574.33,4.715004825,even,unexposed
1988,123000,2477256.26,3.002722525,even,unexposed
1990,161200,2539881.569,2.757226903,even,unexposed
1992,126150,332198.167,0.968260004,even,unexposed
1994,105750,1136574.269,2.374696172,even,unexposed
1996,221150,367250,0.507201611,even,unexposed
1998,130900,727209.8944,1.714781476,even,unexposed
2000,194800,1718625.271,2.177306598,even,unexposed
2002,492100,396295.5378,-0.216521707,even,unexposed
2004,151300,63175.46443,-0.873348616,even,unexposed
2006,41125,34993.61616,-0.16145056,even,unexposed
2008,22668,91681,1.397360922,even,unexposed
2010,13955,176076.8693,2.53508279,even,unexposed
2012,71342,236331.4775,1.197750171,even,unexposed
2014,110420,,,even,unexposed
1960,168275,154728.9098,-0.083924929,even,pre_lice
1962,523675,445938.9451,-0.160689215,even,pre_lice
1964,391400,386830.7411,-0.011742819,even,pre_lice
1966,949500,721979.2629,-0.273939113,even,pre_lice
1968,894400,666040.1068,-0.294803213,even,pre_lice
1970,919475,824963.1567,-0.108464128,even,pre_lice
1972,494775,478655.1538,-0.033122705,even,pre_lice
1974,771310,932260.6803,0.189522107,even,pre_lice
1976,1400260,3006143.441,0.764000075,even,pre_lice
1978,909400,1292511.482,0.351557449,even,pre_lice
1980,1160809,1673425.918,0.365755797,even,pre_lice
1982,432951,486662.2706,0.116945835,even,pre_lice
1984,338089,409759.7575,0.192261856,even,pre_lice
1986,1081196,1085694.386,0.004151934,even,pre_lice
1988,1549410,2055889.393,0.282834335,even,pre_lice
1990,2202370,4739212.123,0.76633685,even,pre_lice
1992,1652853,2114169.357,0.246159111,even,pre_lice
1994,895787,966336.8402,0.075809808,even,pre_lice
1996,1864619,1717307.82,-0.082298899,even,pre_lice
1998,1870298,1753457.031,-0.064508491,even,pre_lice
2000,4082554,4501157.414,0.097611794,even,pre_lice
2002,413449,114336.8739,-1.285385044,even,lice
2004,1357779,1130941.262,-0.182800016,even,lice
2006,424209,355994.5542,-0.175310825,even,lice
2008,236042,75863.80131,-1.135070111,even,lice
2010,362930,84888,-1.452877238,even,lice
2012,1762556,367829,-1.566902151,even,lice
2014,2642574,1362161,-0.662681033,even,lice
1961,311750,501112.0652,0.474628174,odd,pre_lice
1963,343750,321824.597,-0.065907982,odd,pre_lice
1965,253350,197261.3554,-0.250242405,odd,pre_lice
1967,200325,542926.4119,0.997032742,odd,pre_lice
1969,124950,178038.8017,0.354087856,odd,pre_lice
1971,1170750,1509685.689,0.254256907,odd,pre_lice
1973,705315,1098655.093,0.443197557,odd,pre_lice
1975,1117915,1452192.651,0.261609244,odd,pre_lice
1977,161540,417711.1744,0.950037433,odd,pre_lice
1979,185704,435819.359,0.853073835,odd,pre_lice
1981,862150,1516893.058,0.564990211,odd,pre_lice
1983,1343987,2286101.991,0.53120761,odd,pre_lice
1985,859565,1608320.516,0.626519309,odd,pre_lice
1987,171182,196987.3237,0.140412062,odd,pre_lice
1989,282400,942792.203,1.205521395,odd,pre_lice
1991,75115,199681.273,0.977702188,odd,pre_lice
1993,358034,855126.3195,0.870621246,odd,pre_lice
1995,246661,597561.6051,0.884842459,odd,pre_lice
1997,354622,665513.8388,0.629506999,odd,pre_lice
1999,585650,602917.0372,0.029057262,odd,pre_lice
2001,1533717,1690645.526,0.097416223,odd,pre_lice
2003,214025,186739,-0.136380911,odd,lice
2005,345738,278268.6994,-0.217094071,odd,lice
2007,526123,319456.2384,-0.49891473,odd,lice
2009,1422555,938745.5228,-0.415665396,odd,lice
2011,284100,206450,-0.319268037,odd,lice
2013,871069,564757,-0.433325643,odd,lice
